name,address,city,cuisine
nickiemoto's: a sushi bar, 247 buckhead ave.  east village sq., atlanta, fusion
palisades, 1829 peachtree rd., atlanta, continental
pleasant peasant, 555 peachtree st.  at linden ave., atlanta, american
pricci, 500 pharr rd., atlanta, italian
r.j.'s uptown kitchen & wine bar, 870 n. highland ave., atlanta, american
rib ranch, 25 irby ave., atlanta, barbecue
sa tsu ki, 3043 buford hwy., atlanta, asian
sato sushi and thai, 6050 peachtree pkwy.  norcross, atlanta, asian
south city kitchen, 1144 crescent ave., atlanta, southern
south of france, 2345 cheshire bridge rd., atlanta, french
stringer's fish camp and oyster bar, 3384 shallowford rd.  chamblee, atlanta, southern
sundown cafe, 2165 cheshire bridge rd., atlanta, american
taste of new orleans, 889 w. peachtree st., atlanta, southern
tomtom, 3393 peachtree rd., atlanta, continental
antonio's, 3700 w. flamingo, las vegas, italian
bally's big kitchen, 3645 las vegas blvd. s, las vegas, buffets
bamboo garden, 4850 flamingo rd., las vegas, asian
battista's hole in the wall, 4041 audrie st. at flamingo rd., las vegas, italian
bertolini's, 3570 las vegas blvd. s, las vegas, italian
binion's coffee shop, 128 fremont st., las vegas, coffee shops/diners
bistro, 3400 las vegas blvd. s, las vegas, continental
broiler, 4111 boulder hwy., las vegas, american
bugsy's diner, 3555 las vegas blvd. s, las vegas, coffee shops/diners
cafe michelle, 1350 e. flamingo rd., las vegas, american
cafe roma, 3570 las vegas blvd. s, las vegas, coffee shops/diners
capozzoli's, 3333 s. maryland pkwy., las vegas, italian
carnival world, 3700 w. flamingo rd., las vegas, buffets
center stage plaza hotel, 1 main st., las vegas, american
circus circus, 2880 las vegas blvd. s, las vegas, buffets
empress court, 3570 las vegas blvd. s, las vegas, asian
feast, 2411 w. sahara ave., las vegas, buffets
golden nugget hotel, 129 e. fremont st., las vegas, buffets
golden steer, 308 w. sahara ave., las vegas, steak houses
lillie langtry's, 129 e. fremont st., las vegas, asian
mandarin court, 1510 e. flamingo rd., las vegas, asian
margarita's mexican cantina, 3120 las vegas blvd. s, las vegas, mexican
mary's diner, 5111 w. boulder hwy., las vegas, coffee shops/diners
mikado, 3400 las vegas blvd. s, las vegas, asian
pamplemousse, 400 e. sahara ave., las vegas, continental
ralph's diner, 3000 las vegas blvd. s, las vegas, coffee shops/diners
the bacchanal, 3570 las vegas blvd. s, las vegas, only in las vegas
venetian, 3713 w. sahara ave., las vegas, italian
viva mercado's, 6182 w. flamingo rd., las vegas, mexican
yolie's, 3900 paradise rd., las vegas, steak houses
2223, 2223 market st., san francisco, american
acquarello, 1722 sacramento st., san francisco, italian
bardelli's, 243 o'farrell st., san francisco, old san francisco
betelnut, 2030 union st., san francisco, asian
bistro roti, 155 steuart st., san francisco, french
bix, 56 gold st., san francisco, american
bizou, 598 fourth st., san francisco, french
buca giovanni, 800 greenwich st., san francisco, italian
cafe adriano, 3347 fillmore st., san francisco, italian
cafe marimba, 2317 chestnut st., san francisco, mexican/latin american/spanish
california culinary academy, 625 polk st., san francisco, french
capp's corner, 1600 powell st., san francisco, italian
carta, 1772 market st., san francisco, american
chevys, 4th and howard sts., san francisco, mexican/latin american/spanish
cypress club, 500 jackson st., san francisco, american
des alpes, 732 broadway, san francisco, french
faz, 161 sutter st., san francisco, greek and middle eastern
fog city diner, 1300 battery st., san francisco, american
garden court, market and new montgomery sts., san francisco, old san francisco
gaylord's, ghirardelli sq., san francisco, asian
grand cafe hotel monaco, 501 geary st., san francisco, american
greens, bldg. a fort mason, san francisco, vegetarian
harbor village, 4 embarcadero center, san francisco, asian
harris', 2100 van ness ave., san francisco, steak houses
harry denton's, 161 steuart st., san francisco, american
hayes street grill, 320 hayes st., san francisco, seafood
helmand, 430 broadway, san francisco, greek and middle eastern
hong kong flower lounge, 5322 geary blvd., san francisco, asian
hong kong villa, 2332 clement st., san francisco, asian
hyde street bistro, 1521 hyde st., san francisco, italian
il fornaio levi's plaza, 1265 battery st., san francisco, italian
izzy's steak & chop house, 3345 steiner st., san francisco, steak houses
jack's, 615 sacramento st., san francisco, old san francisco
kabuto sushi, 5116 geary blvd., san francisco, asian
katia's, 600 5th ave., san francisco, 
kuleto's, 221 powell st., san francisco, italian
kyo-ya. sheraton palace hotel, 2 new montgomery st.  at market st., san francisco, asian
l'osteria del forno, 519 columbus ave., san francisco, italian
le central, 453 bush st., san francisco, french
le soleil, 133 clement st., san francisco, asian
macarthur park, 607 front st., san francisco, american
manora, 3226 mission st., san francisco, asian
maykadeh, 470 green st., san francisco, greek and middle eastern
mccormick & kuleto's, ghirardelli sq., san francisco, seafood
millennium, 246 mcallister st., san francisco, vegetarian
moose's, 1652 stockton st., san francisco, mediterranean
north india, 3131 webster st., san francisco, asian
one market, 1 market st., san francisco, american
oritalia, 1915 fillmore st., san francisco, italian
pacific pan pacific hotel, 500 post st., san francisco, french
palio d'asti, 640 sacramento st., san francisco, italian
pane e vino, 3011 steiner st., san francisco, italian
pastis, 1015 battery st., san francisco, french
perry's, 1944 union st., san francisco, american
r&g lounge, 631 b kearny st., san francisco, or 415/982-3811 asian
rubicon, 558 sacramento st., san francisco, american
rumpus, 1 tillman pl., san francisco, american
sanppo, 1702 post st., san francisco, asian
scala's bistro, 432 powell st., san francisco, italian
south park cafe, 108 south park, san francisco, french
splendido embarcadero,4, san francisco, mediterranean
stars, 150 redwood alley, san francisco, american
stars cafe, 500 van ness ave., san francisco, american
stoyanof's cafe, 1240 9th ave., san francisco, greek and middle eastern
straits cafe, 3300 geary blvd., san francisco, asian
suppenkuche, 601 hayes st., san francisco, russian/german
tadich grill, 240 california st., san francisco, seafood
the heights, 3235 sacramento st., san francisco, french
thepin, 298 gough st., san francisco, asian
ton kiang, 3148 geary blvd., san francisco, asian
vertigo, 600 montgomery st., san francisco, mediterranean
vivande porta via, 2125 fillmore st., san francisco, italian
vivande ristorante, 670 golden gate ave., san francisco, italian
world wrapps, 2257 chestnut st., san francisco, american
wu kong, 101 spear st., san francisco, asian
yank sing, 427 battery st., san francisco, asian
yaya cuisine, 1220 9th ave., san francisco, greek and middle eastern
yoyo tsumami bistro, 1611 post st., san francisco, french
zarzuela, 2000 hyde st., san francisco, mexican/latin american/spanish
zuni cafe & grill, 1658 market st., san francisco, mediterranean
apple pan  the, 10801 w. pico blvd., west la, american
asahi ramen, 2027 sawtelle blvd., west la, noodle shops
baja fresh, 3345 kimber dr., westlake village, mexican
belvedere  the, 9882 little santa monica blvd., beverly hills, pacific new wave
benita's frites, 1433 third st. promenade, santa monica, fast food
bernard's, 515 s. olive st., los angeles, continental
bistro 45, 45 s. mentor ave., pasadena, californian
brent's deli, 19565 parthenia ave., northridge, delis
brighton coffee shop, 9600 brighton way, beverly hills, coffee shops
bristol farms market cafe, 1570 rosecrans ave. s., pasadena, californian
bruno's, 3838 centinela ave., mar vista, italian
cafe '50s, 838 lincoln blvd., venice, american
cafe blanc, 9777 little santa monica blvd., beverly hills, pacific new wave
cassell's, 3266 w. sixth st., la, hamburgers
chez melange, 1716 pch, redondo beach, eclectic
diaghilev, 1020 n. san vicente blvd., w. hollywood, russian
don antonio's, 1136 westwood blvd., westwood, italian
duke's, 8909 sunset blvd., w. hollywood, coffee shops
falafel king, 1059 broxton ave., westwood, middle eastern
feast from the east, 1949 westwood blvd., west la, chinese
gumbo pot  the, 6333 w. third st., la, cajun/creole
hollywood hills coffee shop, 6145 franklin ave., hollywood, coffee shops
indo cafe, 10428 1/2 national blvd., la, indonesian
jan's family restaurant, 8424 beverly blvd., la, coffee shops
jiraffe, 502 santa monica blvd, santa monica, californian
jody maroni's sausage kingdom, 2011 ocean front walk, venice, hot dogs
joe's, 1023 abbot kinney blvd., venice, american (new)
john o'groats, 10516 w. pico blvd., west la, coffee shops
johnnie's pastrami, 4017 s. sepulveda blvd., culver city, delis
johnny reb's southern smokehouse, 4663 long beach blvd., long beach, southern/soul
johnny rockets (la), 7507 melrose ave., la, american
killer shrimp, 4000 colfax ave., studio city, seafood
kokomo cafe, 6333 w. third st., la, american
koo koo roo, 8393 w. beverly blvd., la, chicken
la cachette, 10506 little santa monica blvd., century city, french (new)
la salsa (la), 22800 pch, malibu, mexican
la serenata de garibaldi, 1842 e. first, st. boyle hts., mexican/tex-mex
langer's, 704 s. alvarado st., la, delis
local nochol, 30869 thousand oaks blvd., westlake village, health food
main course  the, 10509 w. pico blvd., rancho park, american
mani's bakery & espresso bar, 519 s. fairfax ave., la, desserts
martha's, 22nd street grill 25 22nd, st. hermosa beach, american
maxwell's cafe, 13329 washington blvd., marina del rey, american
michael's (los angeles), 1147 third st., santa monica, californian
mishima, 8474 w. third st., la, noodle shops
mo better meatty meat, 7261 melrose ave., la, hamburgers
mulberry st., 17040 ventura blvd., encino, pizza
ocean park cafe, 3117 ocean park blvd., santa monica, american
ocean star, 145 n. atlantic blvd., monterey park, seafood
original pantry bakery, 875 s. figueroa st. downtown, la, diners
parkway grill, 510 s. arroyo pkwy., pasadena, californian
pho hoa, 642 broadway, chinatown, vietnamese
pink's famous chili dogs, 709 n. la brea ave., la, hot dogs
poquito mas, 2635 w. olive ave., burbank, mexican
r-23, 923 e. third st., los angeles, japanese
rae's, 2901 pico blvd., santa monica, diners
rubin's red hots, 15322 ventura blvd., encino, hot dogs
ruby's (la), 45 s. fair oaks ave., pasadena, diners
russell's burgers, 1198 pch, seal beach, hamburgers
ruth's chris steak house (los angeles), 224 s. beverly dr., beverly hills, steakhouses
shiro, 1505 mission st. s., pasadena, pacific new wave
sushi nozawa, 11288 ventura blvd., studio city, japanese
sweet lady jane, 8360 melrose ave., la, desserts
taiko, 11677 san vicente blvd., brentwood, noodle shops
tommy's, 2575 beverly blvd., la, hamburgers
uncle bill's pancake house, 1305 highland ave., manhattan beach, diners
water grill, 544 s. grand ave., los angeles, seafood
zankou chicken, 1415 e. colorado st., glendale, middle eastern
afghan kebab house, 764 ninth ave., new york city, afghan
arcadia, 21 e. 62nd st., new york city, american (new)
benny's burritos, 93 ave. a, new york city, mexican
cafe con leche, 424 amsterdam ave., new york city, cuban
corner bistro, 331 w. fourth st., new york city, hamburgers
cucina della fontana, 368 bleecker st., new york city, italian
cucina di pesce, 87 e. fourth st., new york city, seafood
darbar, 44 w. 56th st., new york city, indian
ej's luncheonette, 432 sixth ave., new york city, diners
edison cafe, 228 w. 47th st., new york city, diners
elias corner, 24-02 31st st., queens, greek
good enough to eat, 483 amsterdam ave., new york city, american
gray's papaya, 2090 broadway, new york city, hot dogs
il mulino, 86 w. third st., new york city, italian
jackson diner, 37-03 74th st., queens, indian
joe's shanghai, 9 pell st., queens, chinese
john's pizzeria, 48 w. 65th st., new york city, pizza
kelley & ping, 127 greene st., new york city, pan-asian
kiev, 117 second ave., new york city, ukrainian
kuruma zushi, 2nd fl., new york city, japanese
la caridad, 2199 broadway, new york city, cuban
la grenouille, 3 e. 52nd st., new york city, french (classic)
lemongrass grill, 61a seventh ave., brooklyn, thai
lombardi's, 32 spring st., new york city, pizza
marnie's noodle shop, 466 hudson st., new york city, asian
menchanko-tei, 39 w. 55th st., new york city, japanese
mitali east-west, 296 bleecker st., new york city, indian
monsoon (ny), 435 amsterdam ave., new york city, thai
moustache, 405 atlantic ave., brooklyn, middle eastern
nobu, 105 hudson st., new york city, japanese
one if by land  tibs, 17 barrow st., new york city, continental
oyster bar, lower level, new york city, seafood
palm, 837 second ave., new york city, steakhouses
palm too, 840 second ave., new york city, steakhouses
patsy's pizza, 19 old fulton st., brooklyn, pizza
peter luger steak house, 178 broadway, brooklyn, steakhouses
rose of india, 308 e. sixth st., new york city, indian
sam's noodle shop, 411 third ave., new york city, chinese
sarabeth's, 1295 madison ave., new york city, american
sparks steak house, 210 e. 46th st., new york city, steakhouses
stick to your ribs, 5-16 51st ave., queens, bbq
sushisay, 38 e. 51st st., new york city, japanese
sylvia's, 328 lenox ave., new york city, southern/soul
szechuan hunan cottage, 1588 york ave., new york city, chinese
szechuan kitchen, 1460 first ave., new york city, chinese
teresa's, 80 montague st., queens, polish
thai house cafe, 151 hudson st., new york city, thai
thailand restaurant, 106 bayard st., new york city, thai
veselka, 144 second ave., new york city, ukrainian
westside cottage, 689 ninth ave., new york city, chinese
windows on the world, 107th fl., new york city, eclectic
wollensky's grill, 205 e. 49th st., new york city, steakhouses
yama, 122 e. 17th st., new york city, japanese
zarela, 953 second ave., new york city, mexican
andre's french restaurant, 401 s. 6th st., las vegas, french (classic)
buccaneer bay club, 3300 las vegas blvd. s., las vegas, continental
buzio's in the rio, 3700 w. flamingo rd., las vegas, seafood
emeril's new orleans fish house, 3799 las vegas blvd. s., las vegas, seafood
fiore rotisserie & grille, 3700 w. flamingo rd., las vegas, italian
hugo's cellar, 202 e. fremont st., las vegas, continental
madame ching's, 3300 las vegas blvd. s., las vegas, asian
mayflower cuisinier, 4750 w. sahara ave., las vegas, chinese
michael's (las vegas), 3595 las vegas blvd. s., las vegas, continental
monte carlo, 3145 las vegas blvd. s., las vegas, french (new)
moongate, 3400 las vegas blvd. s., las vegas, chinese
morton's of chicago (las vegas), 3200 las vegas blvd. s., las vegas, steakhouses
nicky blair's, 3925 paradise rd., las vegas, italian
piero's restaurant, 355 convention center dr., las vegas, italian
spago (las vegas), 3500 las vegas blvd. s., las vegas, californian
steakhouse  the, 128 e. fremont st., las vegas, steakhouses
stefano's, 129 fremont st., las vegas, italian
sterling brunch, 3645 las vegas blvd. s., las vegas, eclectic
tre visi, 3799 las vegas blvd. s., las vegas, italian
103 west, 103 w. paces ferry rd., atlanta, continental
alon's at the terrace, 659 peachtree st., atlanta, sandwiches
baker's cajun cafe, 1134 euclid ave., atlanta, cajun/creole
barbecue kitchen, 1437 virginia ave., atlanta, bbq
bistro  the, 56 e. andrews dr. nw, atlanta, french bistro
bobby & june's kountry kitchen, 375 14th st., atlanta, southern/soul
bradshaw's restaurant, 2911 s. pharr court, atlanta, southern/soul
brookhaven cafe, 4274 peachtree rd., atlanta, vegetarian
cafe sunflower, 5975 roswell rd., atlanta, health food
canoe, 4199 paces ferry rd., atlanta, american (new)
carey's, 1021 cobb pkwy. se, marietta, hamburgers
carey's corner, 1215 powers ferry rd., marietta, hamburgers
chops, 70 w. paces ferry rd., atlanta, steakhouses
chopstix, 4279 roswell rd., atlanta, chinese
deacon burton's soulfood restaurant, 1029 edgewood ave. se, atlanta, southern/soul
eats, 600 ponce de leon ave., atlanta, italian
flying biscuit  the, 1655 mclendon ave., atlanta, eclectic
frijoleros, 1031 peachtree st. ne, atlanta, tex-mex
greenwood's, 1087 green st., roswell, southern/soul
harold's barbecue, 171 mcdonough blvd., atlanta, bbq
havana sandwich shop, 2905 buford hwy., atlanta, cuban
house of chan, 2469 cobb pkwy., smyrna, chinese
indian delights, 3675 satellite blvd., duluth, indian
java jive, 790 ponce de leon ave., atlanta, coffee shops
johnny rockets (at), 2970 cobb pkwy., atlanta, american
kalo's coffee house, 1248 clairmont rd., decatur, coffeehouses
la fonda latina, 4427 roswell rd., atlanta, spanish
lettuce souprise you (at), 3525 mall blvd., duluth, cafeterias
majestic, 1031 ponce de leon ave., atlanta, diners
morton's of chicago (atlanta), 303 peachtree st. ne, atlanta, steakhouses
my thai, 1248 clairmont rd., atlanta, thai
nava, 3060 peachtree rd., atlanta, southwestern
nuevo laredo cantina, 1495 chattahoochee ave. nw, atlanta, mexican
original pancake house (at), 4330 peachtree rd., atlanta, american
palm  the (atlanta), 3391 peachtree rd. ne, atlanta, steakhouses
rainbow restaurant, 2118 n. decatur rd., decatur, vegetarian
ritz-carlton cafe (atlanta), 181 peachtree st., atlanta, american (new)
riviera, 519 e. paces ferry rd., atlanta, mediterranean
silver skillet  the, 200 14th st. nw, atlanta, coffee shops
soto, 3330 piedmont rd., atlanta, japanese
thelma's kitchen, 764 marietta st. nw, atlanta, cafeterias
tortillas, 774 ponce de leon ave. ne, atlanta, tex-mex
van gogh's restaurant & bar, 70 w. crossville rd., roswell, american (new)
veggieland, 220 sandy springs circle, atlanta, vegetarian
white house restaurant, 3172 peachtree rd. ne, atlanta, diners
zab-e-lee, 4837 old national hwy., college park, thai
bill's place, 2315 clement st., san francisco, hamburgers
cafe flore, 2298 market st., san francisco, californian
caffe greco, 423 columbus ave., san francisco, continental
campo santo, 240 columbus ave., san francisco, mexican
cha cha cha's, 1805 haight st., san francisco, caribbean
doidge's, 2217 union st., san francisco, american
dottie's true blue cafe, 522 jones st., san francisco, diners
dusit thai, 3221 mission st., san francisco, thai
ebisu, 1283 ninth ave., san francisco, japanese
emerald garden restaurant, 1550 california st., san francisco, vietnamese
eric's chinese restaurant, 1500 church st., san francisco, chinese
hamburger mary's, 1582 folsom st., san francisco, hamburgers
kelly's on trinity, 333 bush st., san francisco, californian
la cumbre, 515 valencia st., san francisco, mexican
la mediterranee, 288 noe st., san francisco, mediterranean
la taqueria, 2889 mission st., san francisco, mexican
mario's bohemian cigar store cafe, 2209 polk st., san francisco, italian
marnee thai, 2225 irving st., san francisco, thai
mel's drive-in, 3355 geary st., san francisco, hamburgers
mo's burgers, 1322 grant st., san francisco, hamburgers
phnom penh cambodian restaurant, 631 larkin st., san francisco, cambodian
roosevelt tamale parlor, 2817 24th st., san francisco, mexican
sally's cafe & bakery, 300 de haro st., san francisco, american
san francisco bbq, 1328 18th st., san francisco, thai
slanted door, 584 valencia st., san francisco, vietnamese
swan oyster depot, 1517 polk st., san francisco, seafood
thep phanom, 400 waller st., san francisco, thai
ti couz, 3108 16th st., san francisco, french
trio cafe, 1870 fillmore st., san francisco, american
tu lan, 8 sixth st., san francisco, vietnamese
vicolo pizzeria, 201 ivy st., san francisco, pizza
wa-ha-ka oaxaca mexican grill, 2141 polk st., san francisco, mexican
